"parameter","smoothed","quadratic","ci_low","ci_high","mle","span","param_name"
-7.48667202067372,-2177.83850641655,-2188.7953041698,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.4824210500229,-2177.72455771595,-2188.61155001688,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.47817007937208,-2177.61093967781,-2188.42831717982,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.47391910872126,-2177.49765196954,-2188.24560565863,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.46966813807044,-2177.38469425853,-2188.0634154533,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.46541716741962,-2177.27206621218,-2187.88174656382,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.4611661967688,-2177.1597674979,-2187.70059899021,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.45691522611797,-2177.04779778307,-2187.51997273246,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.45266425546715,-2176.9361567351,-2187.33986779057,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.44841328481633,-2176.82484402138,-2187.16028416453,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.44416231416551,-2176.71385930932,-2186.98122185436,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.43991134351469,-2176.6032022663,-2186.80268086006,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.43566037286387,-2176.49287255974,-2186.62466118161,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.43140940221305,-2176.38286985702,-2186.44716281902,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
-7.42715843156222,-2176.27319382556,-2186.27018577229,-6.36441576885687,-5.62899784626477,-5.99458132223541,0.9,"rho_trans"
